  No.	Character   	Type     	Level     	Required for  	Keyword                   	A.K.A.                                            	Requires
     	𠂇          	primitive	          	Elementary (1)	by one’s side             	                                                	'ten'
   76	工          	character	Elementary	Elementary    	work                      	'I-beam'                                        	
   77	左          	character	Medium    	              	left                      	                                                	'by one’s side', 'work'
   78	右          	character	Medium    	              	right                     	                                                	'mouth', 'by one’s side'
   79	有          	character	Elementary	Elementary    	possess                   	                                                	'flesh', 'by one’s side'
   80	贿          	character	          	              	bribe                     	                                                	'shells', 'possess'
   81	贡          	character	Advanced  	              	tribute                   	                                                	'shells'
   82	项          	character	Advanced  	              	item                      	                                                	'page', 'I-beam'
   83	刀          	character	Medium    	Elementary (1)	sword                     	'dagger', 'saber'                               	
   84	刃          	character	          	              	blade                     	                                                	'dagger', 'a drop of'
   85	切          	character	Advanced  	              	cut                       	                                                	'dagger', 'seven', 'diced'
   86	召          	character	Advanced  	Elementary (1)	summon                    	                                                	'sword', 'dagger', 'mouth'
   87	昭          	character	          	              	evident                   	                                                	'summon', 'sun'
   88	则          	character	          	              	rule                      	                                                	'clam', 'saber'
     	畐          	primitive	          	              	wealth                    	                                                	'one', 'mouth', 'rice field'
   89	副          	character	          	              	vice-                     	                                                	'saber', 'wealth'
   90	丁          	character	          	Elementary (1)	fourth                    	'nail', 'spike', 'thumbtack'                    	
   91	叮          	character	          	              	sting                     	                                                	'spike', 'mouth'
   92	可          	character	Elementary	Elementary    	can                       	                                                	'spike', 'mouth'
   93	哥          	character	Elementary	Elementary    	older brother             	                                                	'can'
   94	顶          	character	Advanced  	              	crest                     	                                                	'head', 'spike'
   95	乙          	character	Medium    	Elementary (1)	second                    	'hook', 'fishhook'                              	
   96	飞          	character	Elementary	Elementary    	fly                       	                                                	'fishhook', 'a drop of'
   97	子          	character	Elementary	Elementary    	child                     	                                                	
   98	孔          	character	          	              	cavity                    	                                                	'child', 'hook'
   99	吼          	character	          	              	roar                      	                                                	'mouth', 'cavity'
  100	乱          	character	Advanced  	              	chaos                     	                                                	'tongue', 'fishhook'
  101	了          	character	Elementary	Elementary    	-ed                       	                                                	'child'
  102	女          	character	Elementary	Elementary    	woman                     	                                                	
  103	好          	character	Elementary	Elementary    	good                      	                                                	'woman', 'child'
  104	如          	character	Medium    	              	be like                   	                                                	'mouth', 'woman'
  105	母          	character	Advanced  	Elementary (1)	mother                    	'breasts'                                       	'woman'
  106	贯          	character	          	              	pierce                    	                                                	'mother', 'oyster'
  107	兄          	character	Medium    	Elementary (2)	elder brother             	'teenager'                                      	'mouth', 'human legs'
  108	克          	character	Medium    	              	overcome                  	                                                	'teenager', 'needle'
  109	小          	character	Elementary	Elementary    	small                     	                                                	'a drop of'
  110	少          	character	Elementary	Elementary    	few                       	                                                	'a drop of', 'small'
  111	吵          	character	Advanced  	              	noisy                     	                                                	'few', 'mouth'
  112	孙          	character	Advanced  	              	grandchild                	                                                	'child', 'small'
  113	大          	character	Elementary	Elementary    	large                     	'large dog', 'St. Bernard dog'                  	
  114	尖          	character	Medium    	              	tip                       	                                                	'small', 'large'
  115	夕          	character	Advanced  	Elementary (1)	evening                   	                                                	'moon'
  116	多          	character	Elementary	Elementary    	many                      	                                                	'moon'
  117	够          	character	Medium    	              	enough                    	                                                	'sentence', 'many'
  118	外          	character	Elementary	Elementary    	outside                   	                                                	'evening', 'magic wand'
  119	名          	character	Elementary	Elementary    	name                      	                                                	'evening', 'mouth'
  120	罗          	character	          	              	silk gauze                	                                                	'net', 'evening'
  121	厂          	character	Medium    	Elementary (2)	factory                   	'cliff'                                         	
  122	厅          	character	          	              	hall                      	                                                	'nail'
  123	厉          	character	          	              	stern                     	                                                	'factory', 'ten thousand'
  124	厚          	character	Advanced  	              	thick                     	                                                	'child', 'cliff', 'sun'
  125	石          	character	Advanced  	Elementary (3)	stone                     	'pebbles', 'rocks'                              	'mouth', 'cliff'
  126	砂          	character	          	              	gravel                    	                                                	'few', 'stone'
  127	妙          	character	          	              	wonderful                 	                                                	'woman', 'few'
  128	肖          	character	          	              	resemble                  	'sparks', 'candle'                              	'small', 'flesh'
  129	削          	character	          	              	peel                      	                                                	'saber', 'sparks'
  130	光          	character	Advanced  	              	ray                       	                                                	'small', 'human legs'
  131	太          	character	Elementary	Elementary    	overly                    	                                                	'St. Bernard dog', 'a drop of'
  132	省          	character	Medium    	              	economize                 	                                                	'eye', 'few'
  133	奇          	character	Advanced  	              	strange                   	                                                	'St. Bernard dog', 'can', 'mouth', 'nail'
  134	川          	character	          	              	stream                    	'flood'                                         	
  135	州          	character	          	              	state                     	                                                	'a drop of', 'stream'
  136	顺          	character	Medium    	              	obey                      	                                                	'stream', 'head'
  137	水          	character	Elementary	Elementary    	water                     	'snowflake'                                     	'walking stick', 'a drop of'
  138	永          	character	Medium    	              	eternity                  	                                                	'water', 'a drop of'
  139	脉          	character	          	              	blood vessels             	                                                	'flesh', 'eternity'
  140	求          	character	Medium    	Elementary (1)	request                   	                                                	'snowflake', 'a drop of', 'one'
  141	泉          	character	          	              	spring                    	                                                	'water', 'white', 'a drop of', 'small'
  142	原          	character	Medium    	              	flatlands                 	                                                	'spring', 'cliff'
  143	泳          	character	Advanced  	              	swim                      	                                                	'water', 'eternity'
  144	洲          	character	          	              	continent                 	                                                	'state', 'water'
  145	沼          	character	          	              	marsh                     	                                                	'water', 'summon'
  146	沙          	character	Advanced  	              	sand                      	                                                	'water', 'few'
  147	江          	character	Medium    	              	Yangtze                   	                                                	'water', 'I-beam'
  148	汁          	character	Advanced  	              	juice                     	                                                	'water', 'needle'
  149	潮          	character	          	              	tide                      	                                                	'water', 'dynasty'
  150	源          	character	Advanced  	              	source                    	                                                	'water', 'flatlands'
  151	活          	character	Medium    	              	lively                    	                                                	'tongue', 'water'
  152	消          	character	Advanced  	              	extinguish                	                                                	'water', 'sparks'
  153	河          	character	Medium    	              	river                     	                                                	'water', 'can'
  154	鱼          	character	Medium    	              	fish                      	                                                	'bound up', 'rice field', 'floor'
  155	渔          	character	          	              	fishing                   	                                                	'fish', 'water'
  156	湖          	character	Medium    	              	lake                      	                                                	'water', 'ancient', 'flesh'
  157	测          	character	Advanced  	              	fathom                    	                                                	'water', 'rule'
  158	土          	character	Medium    	Elementary (1)	soil                      	'ground', 'dirt', 'land'                        	
  159	均          	character	Advanced  	              	equal                     	                                                	'soil', 'uniform', 'land'
  160	肚          	character	Advanced  	              	belly                     	                                                	'part of the body', 'soil'
  161	尘          	character	          	              	dust                      	                                                	'small', 'soil'
  162	填          	character	Advanced  	              	fill in                   	                                                	'true', 'dirt'
  163	吐          	character	          	              	spit                      	                                                	'mouth', 'dirt'
  164	压          	character	Medium    	              	pressure                  	                                                	'soil', 'cliff', 'a drop of'
     	圭          	primitive	          	Elementary (3)	bricks                    	                                                	'soil'
  165	哇          	character	          	              	waaah!                    	                                                	'mouth', 'bricks'
  166	寸          	character	Advanced  	Elementary (1)	Chinese inch              	'glue', 'glued to'                              	'a drop of', 'ten'
  167	封          	character	Advanced  	              	seal                      	                                                	'glue', 'bricks'
  168	时          	character	Elementary	Elementary    	time                      	                                                	'sun', 'glued to'
  169	寺          	character	Advanced  	Elementary (1)	Buddhist temple           	                                                	'land', 'glue'
  170	火          	character	Elementary	Elementary    	fire                      	'flames', 'fireplace', 'cooking fire'           	
  171	灭          	character	Medium    	              	destroy                   	                                                	'fire', 'ceiling'
  172	灰          	character	          	Elementary (2)	ashes                     	                                                	'fire', 'fireplace', 'by one’s side'
  173	烦          	character	Medium    	              	vexed                     	                                                	'head', 'fire'
  174	炎          	character	Advanced  	              	inflammation              	                                                	'fire', 'fireplace'
  175	淡          	character	Advanced  	              	thin                      	                                                	'fire', 'water', 'inflammation'
  176	灯          	character	Medium    	              	lamp                      	                                                	'fireplace', 'nail', 'fire'
  177	点          	character	Elementary	Elementary    	spot                      	                                                	'cooking fire', 'tell fortunes'
  178	照          	character	Medium    	              	illuminate                	                                                	'evident', 'cooking fire'
  179	里          	character	Elementary	Elementary    	li                        	'computer'                                      	'rice field', 'land', 'brains'
  180	量          	character	Medium    	              	quantity                  	                                                	'daybreak', 'li'
  181	埋          	character	          	              	bury                      	                                                	'ground', 'computer', 'dirt'
  182	黑          	character	Elementary	Elementary    	black                     	                                                	'computer', 'brains', 'animal horns', 'horns', 'flames'
  183	墨          	character	          	              	black ink                 	                                                	'dirt'
     	冂          	primitive	          	Elementary (1)	hood                      	'glass cover', 'cowl', 'helmet'                 	'wind'
  184	冒          	character	Advanced  	              	risk                      	                                                	'hood', 'two', 'eye'
  185	同          	character	Elementary	Elementary    	same                      	'monks'                                         	'one', 'mouth', 'hood', 'cowl'
  186	洞          	character	          	Elementary (1)	cave                      	                                                	'monks', 'water'
  187	丽          	character	Advanced  	              	lovely                    	                                                	'helmet', 'ceiling', 'a drop of'
  188	向          	character	Elementary	Elementary    	orientation               	                                                	'a drop of', 'helmet', 'mouth'
  189	响          	character	Medium    	              	echo                      	                                                	'orientation', 'mouth'
  190	尚          	character	Advanced  	              	esteem                    	                                                	'small', 'glass cover', 'mouth'
     	宀          	primitive	          	Elementary (1)	house                     	                                                	
  191	字          	character	Elementary	Elementary    	character                 	                                                	'child', 'house'
  192	守          	character	Advanced  	              	guard                     	                                                	'glue', 'house'
  193	完          	character	Elementary	Elementary    	finish                    	                                                	'house', 'beginning'
  194	灾          	character	Advanced  	              	disaster                  	                                                	'house', 'fire'
  195	宣          	character	Advanced  	              	proclaim                  	'sunrise, sunset'                               	'house', 'daybreak', 'sun'
  196	宵          	character	          	              	nighttime                 	                                                	'house', 'candle'
  197	安          	character	Medium    	              	peaceful                  	                                                	'woman', 'house'
  198	宴          	character	          	              	banquet                   	                                                	'day', 'woman', 'house', 'peaceful'
  199	寄          	character	Medium    	              	mail                      	                                                	'strange', 'house'
  200	富          	character	Advanced  	              	wealthy                   	                                                	'wealth', 'house'
  201	贮          	character	          	              	store up                  	                                                	'clam', 'house', 'floor'
  202	木          	character	Elementary	Elementary    	tree                      	'wood', 'pole', 'wooden pole'                   	
  203	林          	character	Advanced  	              	woods                     	                                                	'tree'
  204	森          	character	Advanced  	              	forest                    	                                                	'tree'
  205	梦          	character	Advanced  	              	dream                     	                                                	'woods', 'evening'
  206	机          	character	Elementary	Elementary    	machine                   	                                                	'tree', 'small table'
  207	植          	character	          	              	plant                     	                                                	'tree', 'straight'
  208	杏          	character	          	              	apricot                   	                                                	'tree', 'mouth'
  209	呆          	character	Medium    	              	dim-witted                	                                                	'tree', 'mouth'
  210	枯          	character	          	              	withered                  	                                                	'tree', 'ancient'
  211	村          	character	Medium    	              	village                   	                                                	'tree', 'glued to'
  212	相          	character	Medium    	Elementary (1)	one another               	                                                	'tree', 'eye'
  213	本          	character	Elementary	Elementary    	notebook                  	                                                	'tree'
  214	案          	character	          	              	case                      	                                                	'peaceful', 'tree'
  215	未          	character	Medium    	              	not yet                   	                                                	'tree'
  216	末          	character	Advanced  	              	last                      	                                                	'tree'
  217	沫          	character	          	              	foam                      	                                                	'last', 'water'
  218	味          	character	Medium    	              	flavor                    	                                                	'not yet', 'mouth'
  219	妹          	character	Medium    	              	younger sister            	                                                	'woman', 'not yet'
  220	查          	character	Medium    	              	investigate               	                                                	'daybreak', 'tree'
  221	渣          	character	          	              	sediment                  	                                                	'investigate', 'water'
  222	染          	character	          	              	dye                       	                                                	'water', 'tree', 'baseball'
  223	李          	character	Medium    	              	plum                      	                                                	'tree', 'child'
  224	桌          	character	Medium    	Elementary (2)	table                     	                                                	'tree', 'sun', 'magic wand'
  225	杂          	character	Advanced  	              	miscellaneous             	                                                	'baseball', 'pole'
     	艹          	primitive	          	Elementary (1)	flower                    	                                                	
  226	若          	character	          	              	as if                     	                                                	'flower', 'right'
  227	草          	character	Medium    	              	grass                     	                                                	'flower', 'early'
  228	艺          	character	Advanced  	              	technique                 	                                                	'fishhook', 'flower'
  229	苦          	character	Advanced  	              	suffering                 	                                                	'flower', 'ancient'
  230	宽          	character	Advanced  	              	wide                      	                                                	'house', 'see', 'flower'
  231	莫          	character	          	              	nobody                    	'graveyard'                                     	'flower', 'sun', 'St. Bernard dog'
  232	模          	character	Advanced  	              	imitate                   	                                                	'graveyard', 'tree'
  233	漠          	character	          	              	desert                    	                                                	'water', 'graveyard'
  234	墓          	character	          	              	grave                     	                                                	'soil', 'graveyard'
  235	苗          	character	          	              	seedling                  	'tomato seedling'                               	'rice field', 'brains', 'flower'
  236	瞄          	character	          	              	aim                       	                                                	'eye', 'tomato seedling', 'eyeball'
  237	兆          	character	          	              	portent                   	'turtle'                                        	
  238	桃          	character	          	              	peach                     	                                                	'portent', 'tree'
  239	犬          	character	          	Elementary (1)	pooch                     	'chihuahua', 'pack of wild dogs'                	'large', 'St. Bernard dog', 'a drop of'
  240	尤          	character	Advanced  	Elementary (1)	remarkable                	'Frankenpooch'                                  	'pooch', 'human legs'
  241	厌          	character	          	              	detest                    	                                                	'chihuahua', 'factory'
  242	状          	character	Advanced  	              	state of affairs          	                                                	'turtle', 'chihuahua'
  243	妆          	character	          	              	put on makeup             	                                                	'woman', 'turtle'
  244	将          	character	Advanced  	              	General                   	                                                	'turtle', 'evening', 'glued to'
  245	获          	character	Advanced  	              	seize                     	                                                	'flower', 'chihuahua', 'pack of wild dogs'
  246	默          	character	          	              	silent                    	                                                	'black', 'chihuahua'
  247	然          	character	Elementary	Elementary    	sort of thing             	                                                	'flesh', 'chihuahua', 'cooking fire'
     	吅          	primitive	          	              	chatterbox                	'windup teeth'                                  	'mouth'
  248	哭          	character	Medium    	              	cry                       	                                                	'chatterbox', 'chihuahua'
  249	器          	character	Advanced  	              	utensil                   	                                                	'chihuahua', 'mouth'
  250	臭          	character	Advanced  	              	stinking                  	                                                	'chihuahua', 'nose'
  251	狗          	character	Medium    	              	dog                       	                                                	'pack of wild dogs', 'sentence'
  252	牛          	character	Elementary	Elementary    	cow                       	                                                	
  253	特          	character	Medium    	              	special                   	                                                	'cow', 'Buddhist temple'
  254	告          	character	Elementary	Elementary    	declare                   	                                                	'cow', 'mouth'
  255	浩          	character	          	              	vast                      	                                                	'water', 'mouth', 'cow'
  256	先          	character	Elementary	Elementary    	before                    	                                                	'cow', 'human legs'
  257	洗          	character	Elementary	Elementary    	wash                      	                                                	'water', 'before'
     	𠆢          	primitive	          	Elementary (1)	umbrella                  	                                                	
  258	个          	character	Elementary	Elementary    	individual                	                                                	'umbrella', 'walking stick'
     	囧介－𠆢    	primitive	          	Elementary (1)	crutches                  	                                                	
  259	介          	character	Elementary	Elementary    	introduce                 	                                                	'umbrella', 'crutches'
  260	界          	character	Advanced  	              	world                     	                                                	'introduce', 'rice field'
  261	茶          	character	Elementary	Elementary    	tea                       	                                                	'flower', 'wooden pole', 'umbrella'
     	亼          	primitive	          	Elementary (1)	meeting                   	                                                	'umbrella'
  262	合          	character	Medium    	Elementary (1)	fit                       	                                                	'meeting', 'mouth'
  263	哈          	character	Medium    	              	ha!                       	                                                	'mouth', 'fit'
  264	塔          	character	          	              	pagoda                    	                                                	'dirt', 'flower', 'fit'
  265	王          	character	Medium    	Elementary (2)	king                      	'scepter'                                       	'I-beam'
  266	玉          	character	Medium    	Elementary (1)	jade                      	'jewel', 'ball'                                 	'scepter', 'a drop of'
  267	宝          	character	Medium    	              	treasure                  	                                                	'house', 'jade'
  268	球          	character	Elementary	Elementary    	ball                      	                                                	'ball', 'request'
  269	现          	character	Elementary	Elementary    	present                   	                                                	'ball', 'see'
  270	玩          	character	Elementary	Elementary    	play                      	                                                	'beginning', 'ball'
  271	狂          	character	          	              	crazy                     	                                                	'king', 'pack of wild dogs'
  272	皇          	character	Advanced  	              	emperor                   	                                                	'king', 'white bird'
  273	煌          	character	          	              	resplendent               	                                                	'fire', 'emperor'
  274	呈          	character	          	              	submit                    	                                                	'king', 'mouth'
  275	全          	character	Medium    	              	whole                     	                                                	'king', 'umbrella'
  276	理          	character	Medium    	              	logic                     	                                                	'jewel', 'computer'
  277	主          	character	Medium    	Elementary (1)	lord                      	'candlestick'                                   	'a drop of', 'king', 'jade'
  278	注          	character	Advanced  	              	pour                      	                                                	'candlestick'
  279	金          	character	Advanced  	Elementary (1)	gold                      	'metal'                                         	'umbrella', 'scepter', 'a drop of'
  280	钟          	character	Advanced  	              	bell                      	                                                	'metal', 'middle'
  281	铜          	character	          	              	copper                    	                                                	'monks', 'metal'
  282	钓          	character	          	              	go fishin’                	                                                	'gold', 'ladle'
